City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Izhma,RU,65.0083,53.9113,-6.07,100,100,4.03,overcast clouds
79,Potosi,BO,-19.5836,-65.7531,56.59,18,5,17.2,clear sky
80,Luanda,AO,-8.8368,13.2343,73.4,94,100,4.61,light intensity shower rain
81,Constitucion,CL,-35.3333,-72.4167,68.59,57,17,5.55,few clouds
82,Port Macquarie,AU,-31.4333,152.9167,63.9,86,99,8.05,overcast clouds
83,Saint George,US,37.1041,-113.5841,45.19,33,0,3.44,clear sky
84,Kintinku,TZ,-5.8833,35.2333,78.08,50,70,7.05,broken clouds
85,Kaeo,NZ,-35.1,173.7833,58.33,95,100,10.94,heavy intensity rain
86,Puerto El Triunfo,SV,13.2833,-88.55,83.61,71,70,9.57,broken clouds
87,Yambio,SS,4.5721,28.3955,73.35,67,100,3.2,overcast clouds
88,Karratha,AU,-20.7377,116.8463,81.03,33,8,12.5,clear sky
89,Sambava,MG,-14.2667,50.1667,72.45,86,29,10.83,light rain
90,Cidreira,BR,-30.1811,-50.2056,73.17,83,1,14.54,clear sky
91,Fortuna,US,40.5982,-124.1573,55.92,83,100,9.22,overcast clouds
92,Plettenberg Bay,ZA,-34.0527,23.3716,58.14,81,10,4.07,clear sky
93,Trairi,BR,-3.2778,-39.2689,81.48,71,100,13.22,overcast clouds
94,Grand Gaube,MU,-20.0064,57.6608,75.6,66,10,5.01,clear sky
95,Flinders,AU,-34.5833,150.8552,65.37,79,97,5.01,overcast clouds
96,Sibut,CF,5.718,19.0739,78.42,59,96,3.15,overcast clouds
97,Ladozhskaya,RU,45.3081,39.935,45.88,80,91,7.76,overcast clouds
98,Amazar,RU,53.858,120.875,-8.48,97,100,2.98,overcast clouds
99,Bonavista,CA,48.6499,-53.1147,38.08,90,100,22.41,overcast clouds
100,Serebryansk,KZ,49.6925,83.2892,-25.33,99,94,6.69,overcast clouds
101,Ambilobe,MG,-13.2,49.05,75.38,66,0,4.5,clear sky
102,Port Lincoln,AU,-34.7333,135.8667,56.59,83,79,9.69,broken clouds
103,Namibe,AO,-15.1961,12.1522,72.59,80,67,7.34,broken clouds
104,Port Elizabeth,ZA,-33.918,25.5701,65.32,84,40,3.44,scattered clouds
105,Yulara,AU,-25.2406,130.9889,72.7,62,54,6.82,broken clouds
106,Mikhaylov,RU,54.2292,39.0186,29.07,97,100,9.48,overcast clouds
107,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75,light intensity shower rain
108,Ostrovnoy,RU,68.0531,39.5131,21.43,90,14,18.16,few clouds
109,Rocha,UY,-34.4833,-54.3333,78.31,49,1,15.05,clear sky
110,Chokurdakh,RU,70.6333,147.9167,-32.89,98,100,4.5,overcast clouds
111,Hilo,US,19.7297,-155.09,79.25,73,98,3.0,overcast clouds
112,Xuddur,SO,4.1213,43.8894,78.03,58,96,7.05,overcast clouds
113,Along,IN,28.1667,94.7667,53.01,69,0,1.63,clear sky
114,Sur,OM,22.5667,59.5289,76.6,67,0,4.99,clear sky
115,Ourossogui,SN,15.6064,-13.3211,86.7,10,100,8.25,overcast clouds
116,Salinopolis,BR,-0.6136,-47.3561,82.76,70,87,12.71,overcast clouds
117,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,94,40,2.3,moderate rain
118,Ahipara,NZ,-35.1667,173.1667,58.26,94,100,9.44,moderate rain
119,Khor,RU,47.8861,134.9464,13.78,86,98,7.76,overcast clouds
120,Chuy,UY,-33.6971,-53.4616,73.72,71,0,12.91,clear sky
121,Torbay,CA,47.6666,-52.7314,39.76,88,100,8.01,overcast clouds
122,Bam,IR,29.106,58.357,62.11,26,0,3.29,clear sky
123,Yellowknife,CA,62.456,-114.3525,18.12,86,100,3.44,light snow
124,Camacha,PT,33.0833,-16.3333,65.62,73,40,2.3,scattered clouds
125,Taltal,CL,-25.4,-70.4833,69.21,68,24,7.47,few clouds
126,Hithadhoo,MV,-0.6,73.0833,81.39,77,99,10.2,overcast clouds
127,Nyurba,RU,63.2842,118.3319,-41.62,100,77,2.19,broken clouds
128,Nuevo Progreso,MX,23.1667,-97.95,67.89,63,100,4.0,overcast clouds
129,Georgetown,MY,5.4112,100.3354,80.53,89,20,5.99,few clouds
130,Atuona,PF,-9.8,-139.0333,77.63,73,18,13.82,few clouds
131,Ponta Do Sol,PT,32.6667,-17.1,67.71,74,47,1.83,scattered clouds
132,Nome,US,64.5011,-165.4064,15.12,79,15,12.97,few clouds
133,Ancud,CL,-41.8697,-73.8203,64.47,55,100,5.23,overcast clouds
134,Kununurra,AU,-15.7667,128.7333,80.58,78,75,3.44,broken clouds
135,Sao Filipe,CV,14.8961,-24.4956,78.12,65,0,10.4,clear sky
136,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,11.5,scattered clouds
137,Kismayo,SO,-0.3582,42.5454,79.0,77,99,9.4,overcast clouds
138,Vilnius,LT,54.6892,25.2798,29.28,93,100,2.3,mist
139,Kokopo,PG,-4.352,152.2633,79.5,78,100,6.98,overcast clouds
140,Wisconsin Rapids,US,44.3836,-89.8174,55.69,35,24,1.01,few clouds
141,Thompson,CA,55.7435,-97.8558,24.96,86,100,8.05,light snow
142,Acapulco,MX,16.8634,-99.8901,84.7,65,6,6.71,clear sky
143,Vanimo,PG,-2.6741,141.3028,77.83,80,93,2.93,overcast clouds
144,Barpeta,IN,26.3167,91.0,62.2,72,0,4.85,clear sky
145,Eydhafushi,MV,5.1033,73.0708,80.17,72,100,2.01,overcast clouds
146,Arlit,NE,18.7369,7.3853,76.19,15,100,5.91,overcast clouds
147,Jamtara,IN,23.95,86.8,62.56,49,44,6.08,scattered clouds
148,Lavrentiya,RU,65.5833,-171.0,7.09,80,36,8.72,scattered clouds
149,Faanui,PF,-16.4833,-151.75,78.89,72,14,12.08,few clouds
150,Keetmanshoop,NA,-26.5833,18.1333,77.23,14,0,13.31,clear sky
151,Kapaa,US,22.0752,-159.319,75.18,72,20,5.01,few clouds
152,Ugoofaaru,MV,5.6667,73.0,80.15,70,100,0.54,overcast clouds
153,Pevek,RU,69.7008,170.3133,-23.08,98,51,5.7,broken clouds
154,Dakar,SN,14.6937,-17.4441,81.48,67,100,15.35,overcast clouds
155,San Miguel,SV,13.4833,-88.1833,89.31,52,24,2.33,few clouds
156,Saint-Georges,GD,12.0564,-61.7485,80.29,80,100,11.59,light rain
157,Zhangye,CN,38.9342,100.4517,35.33,33,54,5.08,broken clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,40,11.5,scattered clouds
159,Pomabamba,PE,-8.8333,-77.4667,62.92,31,99,6.71,overcast clouds
160,Constantine,DZ,36.365,6.6147,51.21,76,40,10.36,scattered clouds
161,Kaitangata,NZ,-46.2817,169.8464,50.23,58,7,4.74,clear sky
162,Sebu,PH,6.22,124.6936,68.38,96,64,1.39,broken clouds
163,Alcanede,PT,39.415,-8.8219,55.8,85,89,3.47,overcast clouds
164,Baykit,RU,61.67,96.37,-30.51,99,90,0.54,overcast clouds
165,Tadine,NC,-21.55,167.8833,75.2,68,1,8.84,clear sky
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,68,100,4.47,light snow
167,Mattru,SL,7.6244,-11.8332,76.71,86,84,3.33,broken clouds
168,Buchanan,LR,5.8808,-10.0467,79.29,81,68,6.78,broken clouds
169,Glendive,US,47.1053,-104.7125,40.48,68,97,14.0,overcast clouds
170,Cabo San Lucas,MX,22.8909,-109.9124,82.62,53,0,1.99,clear sky
171,East London,ZA,-33.0153,27.9116,63.34,90,100,3.53,light rain
172,Bengkulu,ID,-3.8004,102.2655,74.64,90,99,3.62,overcast clouds
173,Rundu,NA,-17.9333,19.7667,72.91,61,15,9.91,light rain
174,Saurimo,AO,-9.6608,20.3916,64.45,97,100,2.62,light rain
175,Mpika,ZM,-11.8343,31.4529,69.15,48,44,8.72,scattered clouds
